,stock,profitpct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
0,ABFRL,0.03,14,0.57,0.42,-0.5,0.03,1.12
1,AEGISLOG,-0.12,28,0.43,0.6,-0.66,-0.12,0.68
2,AJANTPHARM,-0.09,22,0.32,0.62,-0.45,-0.11,0.69
3,AXISBANK,0.18,6,0.33,2.13,-0.79,0.18,1.34
4,BAJFINANCE,0.89,6,0.67,1.55,-0.43,0.89,7.2
5,BALAMINES,-0.26,9,0.22,0.4,-0.44,-0.26,0.26
6,BHARTIARTL,0.36,5,0.4,1.95,-0.7,0.36,1.86
7,CERA,-0.33,13,0.23,0.37,-0.54,-0.33,0.2
8,CHOLAFIN,0.27,11,0.64,0.7,-0.49,0.27,2.49
9,CROMPTON,0.3,8,0.75,0.62,-0.65,0.3,2.88
10,DALBHARAT,0.02,7,0.14,2.59,-0.41,0.02,1.04
11,DEEPAKNTR,-0.05,8,0.5,0.34,-0.45,-0.05,0.76
12,FINEORG,-0.35,11,0.27,0.55,-0.69,-0.35,0.3
13,GLENMARK,-0.14,11,0.27,0.98,-0.56,-0.14,0.65
14,GRANULES,0.12,11,0.27,1.73,-0.48,0.12,1.35
15,HCLTECH,0.06,7,0.43,0.96,-0.62,0.06,1.16
16,HDFCBANK,0.35,9,0.56,1.13,-0.84,0.25,2.23
17,HINDCOPPER,0.21,22,0.55,0.96,-0.69,0.21,1.68
18,HINDUNILVR,-0.06,5,0.4,0.5,-0.44,-0.06,0.76
19,ICICIBANK,0.34,12,0.5,1.22,-0.55,0.34,2.22
20,INDIGO,0.05,11,0.27,2.01,-0.69,0.05,1.09
21,INFY,-0.07,4,0.5,0.75,-0.88,-0.07,0.84
22,ITC,0.02,4,0.5,0.63,-0.58,0.02,1.08
23,JUBLFOOD,0.14,14,0.43,0.96,-0.47,0.14,1.52
24,KEI,-0.08,11,0.45,0.73,-0.75,-0.08,0.81
25,KOTAKBANK,0.13,4,0.25,2.1,-0.79,-0.07,1.33
26,KPITTECH,-0.3,20,0.25,0.39,-0.53,-0.3,0.24
27,LEMONTREE,-0.03,12,0.33,1.21,-0.74,-0.09,0.93
28,LT,0.52,5,0.4,3.29,-1.32,0.52,1.66
29,MARUTI,0.95,2,0.5,2.26,-0.35,0.95,6.49
30,MAZDOCK,-0.22,17,0.41,0.46,-0.7,-0.22,0.46
31,MUTHOOTFIN,-0.17,6,0.17,2.06,-0.62,-0.17,0.67
32,NTPC,0.63,13,0.46,1.88,-0.44,0.63,3.62
33,PAGEIND,0.96,5,0.8,1.31,-0.45,0.96,11.52
34,PERSISTENT,-0.05,9,0.33,0.89,-0.53,-0.05,0.84
35,POLYCAB,0.49,19,0.47,1.74,-0.62,0.49,2.51
36,RELIANCE,0.36,5,0.6,0.97,-0.55,0.36,2.63
37,RITES,0.05,12,0.5,1.05,-0.95,0.05,1.11
38,SBIN,1.62,7,0.71,2.79,-1.28,1.62,5.43
39,SRF,0.24,7,0.57,0.98,-0.76,0.24,1.73
40,SUNPHARMA,-0.71,12,0.08,1.35,-0.89,-0.71,0.14
41,TATAELXSI,0.12,8,0.62,0.63,-0.72,0.12,1.46
42,TATASTEEL,0.6,4,0.5,1.72,-0.52,0.6,3.33
43,TCS,0.36,3,0.33,2.51,-0.72,0.36,1.74
44,TEJASNET,0.23,5,0.4,1.62,-0.7,0.23,1.56
45,UBL,-0.31,15,0.13,0.36,-0.41,-0.31,0.13
46,ULTRACEMCO,-0.51,2,0.5,0.51,-1.53,-0.51,0.33
47,VOLTAS,0.14,16,0.56,0.75,-0.65,0.14,1.48
48,WIPRO,0.24,13,0.54,1.11,-0.78,0.24,1.67
49,ZYDUSLIFE,-0.09,6,0.5,0.44,-0.62,-0.09,0.71
